elapsed_sec,contact_state,force_x_n,force_y_n,force_z_n,torque_x_nm,torque_y_nm,torque_z_nm,force_magnitude_n,torque_magnitude_nm
0.213,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.413,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.614,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.813,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.213,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.612,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.413,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.814,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.012,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.213,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.413,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.612,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.389,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5.813,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.614,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6.813,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.012,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.413,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.813,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.012,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.213,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.612,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.013,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.612,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.812,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.014,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.212,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.412,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.613,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.813,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
12.012,no_contact,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
