elapsed_sec,input_signal_contract_passed,output_suggestion_contract_passed,safety_constraint_contract_passed,execution_block_contract_passed,readiness_dependency_contract_passed,future_controller_boundary_contract_passed,all_required_inputs_available,diagnostic_outputs_only,forbidden_outputs_disabled,status
0.218,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
0.417,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
0.617,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
0.818,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.018,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.218,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.418,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.617,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
1.818,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.018,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.218,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.418,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.618,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
2.818,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.018,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.217,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.418,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.618,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
3.818,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.017,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.218,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.417,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.617,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
4.820,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.019,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.218,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.419,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.618,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
5.818,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.018,false,true,true,true,false,true,false,true,true,pre_control_contract_pending
6.219,true,true,true,true,false,true,true,true,true,pre_control_contract_pending
6.421,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
6.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
6.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
7.819,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
8.819,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.617,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
9.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
10.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
11.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.220,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.422,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
12.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.019,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.617,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
13.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.617,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
14.817,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
15.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.017,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.218,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
16.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.217,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.418,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.618,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
17.818,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
18.018,true,true,true,true,true,true,true,true,true,pre_control_contract_validated
