step_index,status,duration_sec,force_n,torque_nm,contact_gate_triggered,emergency_stop_triggered,joint_state_snapshot
1,succeeded,2.156140,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.819141949;joint_6=0.041017830
2,succeeded,2.207002,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.823496051;joint_6=0.045371932
3,succeeded,2.156506,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.827848000;joint_6=0.049723881
4,succeeded,2.156628,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.832200013;joint_6=0.054075893
5,succeeded,2.156141,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.836550699;joint_6=0.058426579
6,succeeded,2.156131,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.840902641;joint_6=0.062778522
7,succeeded,2.156665,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.845254580;joint_6=0.067130461
8,succeeded,2.205897,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.849608679;joint_6=0.071484559
9,succeeded,2.157398,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.853960686;joint_6=0.075836567
10,succeeded,2.157870,0.000000,0.000000,false,false,joint_1=0.011921632;joint_2=-0.809395396;joint_3=1.208415077;joint_4=0.009027916;joint_5=0.858312622;joint_6=0.080188502
