field,value
contact_wrench_topic_available,true
contact_detection_force_threshold_n,0.02
contact_validation_min_force_n,0.02
desired_contact_force_upper_n,3.0
raw_contact_topic_available,true
raw_contact_message_count,7270
raw_contact_count,7270
max_contact_depth_m,0.08
max_observed_force_n,0.3999800000500727
max_observed_torque_nm,0.0
max_allowed_force_n,8.0
emergency_stop_force_threshold_n,6.0
safety_violation_count,0
contact_gate_triggered,true
emergency_stop_triggered,false
peg_insertion_executed,false
forceful_contact_executed,false
real_robot_used,false
